Frecuencia	Ganancia	Fase
2.71227257933203e+002	1.19870396775255e+001	-1.74856719230479e+002
2.92864456462524e+002	1.19892399463042e+001	-1.75237426937185e+002
3.16227766016838e+002	1.19911275114861e+001	-1.75590166101371e+002
3.41454887383360e+002	1.19927467642821e+001	-1.75916994875966e+002
3.68694506451957e+002	1.19941358071026e+001	-1.76219822979879e+002
3.98107170553497e+002	1.19953273409778e+001	-1.76500422076758e+002
4.29866234708228e+002	1.19963494287053e+001	-1.76760435519425e+002
4.64158883361278e+002	1.19972261508065e+001	-1.77001387480843e+002
5.01187233627272e+002	1.19979781692168e+001	-1.77224691496284e+002
5.41169526546464e+002	1.19986232115548e+001	-1.77431658443826e+002
5.84341413373517e+002	1.19991764870310e+001	-1.77623503991713e+002
6.30957344480193e+002	1.19996510436129e+001	-1.77801355541753e+002
6.81292069057961e+002	1.20000580746645e+001	-1.77966258697973e+002
7.35642254459641e+002	1.20004071821729e+001	-1.78119183289307e+002
7.94328234724281e+002	1.20007066026864e+001	-1.78261028974434e+002
8.57695898590894e+002	1.20009634012021e+001	-1.78392630455871e+002
9.26118728128793e+002	1.20011836375765e+001	-1.78514762329391e+002
1.00000000000000e+003	1.20013725092701e+001	-1.78628143593603e+002
1.07977516232771e+003	1.20015344738438e+001	-1.78733441843309e+002
1.16591440117983e+003	1.20016733540407e+001	-1.78831277169020e+002
1.25892541179417e+003	1.20017924279166e+001	-1.78922225783707e+002
1.35935639087853e+003	1.20018945061379e+001	-1.79006823396714e+002
1.46779926762207e+003	1.20019819982953e+001	-1.79085568353498e+002
1.58489319246111e+003	1.20020569697230e+001	-1.79158924558797e+002
1.71132830416178e+003	1.20021211902385e+001	-1.79227324199684e+002
1.84784979742229e+003	1.20021761759093e+001	-1.79291170283973e+002
1.99526231496888e+003	1.20022232248059e+001	-1.79350839008465e+002
2.15443469003188e+003	1.20022634476619e+001	-1.79406681970619e+002
2.32630506715363e+003	1.20022977940666e+001	-1.79459028236389e+002
2.51188643150958e+003	1.20023270748891e+001	-1.79508186276162e+002
2.71227257933203e+003	1.20023519814149e+001	-1.79554445780047e+002
2.92864456462524e+003	1.20023731016637e+001	-1.79598079363037e+002
3.16227766016838e+003	1.20023909342641e+001	-1.79639344169988e+002
3.41454887383360e+003	1.20024059002343e+001	-1.79678483389788e+002
3.68694506451957e+003	1.20024183529102e+001	-1.79715727687540e+002
3.98107170553497e+003	1.20024285862968e+001	-1.79751296563166e+002
4.29866234708228e+003	1.20024368419995e+001	-1.79785399644380e+002
4.64158883361278e+003	1.20024433149329e+001	-1.79818237921597e+002
5.01187233627272e+003	1.20024481579217e+001	-1.79850004932058e+002
5.41169526546464e+003	1.20024514853088e+001	-1.79880887900085e+002
5.84341413373518e+003	1.20024533756529e+001	-1.79911068840195e+002
6.30957344480193e+003	1.20024538735833e+001	-1.79940725629535e+002
6.81292069057961e+003	1.20024529908643e+001	-1.79970033055952e+002
7.35642254459641e+003	1.20024507066512e+001	-1.79999163847849e+002
7.94328234724281e+003	1.20024469670159e+001	1.79971710308104e+002
8.57695898590894e+003	1.20024416836710e+001	1.79942417755450e+002
9.26118728128794e+003	1.20024347318797e+001	1.79912785856643e+002
1.00000000000000e+004	1.20024259475197e+001	1.79882639976058e+002
1.07977516232771e+004	1.20024151231978e+001	1.79851802451312e+002
1.16591440117983e+004	1.20024020033667e+001	1.79820091546910e+002
1.25892541179417e+004	1.20023862782896e+001	1.79787320384022e+002
1.35935639087853e+004	1.20023675767194e+001	1.79753295840229e+002
1.46779926762207e+004	1.20023454571503e+001	1.79717817412713e+002
1.58489319246111e+004	1.20023193973897e+001	1.79680676038322e+002
1.71132830416178e+004	1.20022887822355e+001	1.79641652863685e+002
1.84784979742229e+004	1.20022528889638e+001	1.79600517958144e+002
1.99526231496888e+004	1.20022108702649e+001	1.79557028962200e+002
2.15443469003188e+004	1.20021617342641e+001	1.79510929663590e+002
2.32630506715363e+004	1.20021043211092e+001	1.79461948492896e+002
2.51188643150958e+004	1.20020372756197e+001	1.79409796930141e+002
2.71227257933203e+004	1.20019590153287e+001	1.79354167813291e+002
2.92864456462524e+004	1.20018676931524e+001	1.79294733539258e+002
3.16227766016838e+004	1.20017611538568e+001	1.79231144147354e+002
3.41454887383360e+004	1.20016368832568e+001	1.79163025274659e+002
3.68694506451958e+004	1.20014919489617e+001	1.79089975972225e+002
