time	V(vc_vo)
3.444666502585977e-002	1.963137e+001
3.450258690589933e-002	1.942843e+001
3.456621965148288e-002	1.901422e+001
3.464621965148287e-002	1.824051e+001
3.472621965148287e-002	1.721818e+001
3.480621965148287e-002	1.597295e+001
3.488621965148286e-002	1.455713e+001
3.496621965148286e-002	1.303341e+001
3.504621965148286e-002	1.147404e+001
3.512621965148285e-002	9.959102e+000
3.520621965148285e-002	8.573786e+000
3.528621965148285e-002	7.404973e+000
3.536621965148284e-002	6.536960e+000
3.544621965148284e-002	6.046662e+000
3.552621965148284e-002	5.998692e+000
3.560621965148283e-002	6.440681e+000
3.568621965148283e-002	7.399124e+000
3.576621965148283e-002	8.875557e+000
3.584621965148283e-002	1.084209e+001
3.592621965148282e-002	1.323101e+001
3.600621965148282e-002	1.589810e+001
3.606629846147988e-002	1.791319e+001
3.609150964152266e-002	1.858311e+001
3.611728909827300e-002	1.901552e+001
3.612369882763364e-002	1.908596e+001
3.613431820016266e-002	1.917494e+001
3.614458473281737e-002	1.924754e+001
3.616063749555101e-002	1.934039e+001
3.617747056004123e-002	1.941846e+001
3.620124626686294e-002	1.950415e+001
3.622948096066686e-002	1.958186e+001
3.626652638999170e-002	1.965234e+001
3.631012394912764e-002	1.968503e+001
3.635650331819890e-002	1.963437e+001
3.641502896392179e-002	1.942753e+001
3.647835304917077e-002	1.901795e+001
3.655835304917077e-002	1.824539e+001
3.663835304917076e-002	1.722432e+001
3.671835304917076e-002	1.598006e+001
3.679835304917076e-002	1.456487e+001
3.687835304917075e-002	1.304141e+001
3.695835304917075e-002	1.148189e+001
3.703835304917075e-002	9.966353e+000
3.711835304917074e-002	8.580002e+000
3.719835304917074e-002	7.409724e+000
3.727835304917074e-002	6.539854e+000
3.735835304917073e-002	6.047371e+000
3.743835304917073e-002	5.996972e+000
3.751835304917073e-002	6.436395e+000
3.759835304917072e-002	7.392259e+000
3.767835304917072e-002	8.866241e+000
3.775835304917072e-002	1.083062e+001
3.783835304917071e-002	1.321792e+001
3.791835304917071e-002	1.588403e+001
3.797904214229281e-002	1.791636e+001
3.800462342858996e-002	1.859757e+001
3.802837837772258e-002	1.899936e+001
3.803472173473363e-002	1.907016e+001
3.804526784322398e-002	1.916117e+001
3.805557714189103e-002	1.923638e+001
3.807063189821630e-002	1.932635e+001
3.808742638038007e-002	1.940718e+001
3.810924362222451e-002	1.948912e+001
3.813780846743967e-002	1.957148e+001
3.817176132327260e-002	1.964093e+001
3.821646733846248e-002	1.968428e+001
3.826106432817347e-002	1.964784e+001
3.832280584761003e-002	1.944551e+001
3.838801631178807e-002	1.903796e+001
3.846801631178806e-002	1.827728e+001
3.854801631178806e-002	1.726508e+001
3.862801631178806e-002	1.602804e+001
3.870801631178805e-002	1.461803e+001
3.878801631178805e-002	1.309734e+001
3.886801631178805e-002	1.153788e+001
3.894801631178804e-002	1.001944e+001
3.902801631178804e-002	8.627090e+000
3.910801631178804e-002	7.447732e+000
3.918801631178803e-002	6.565860e+000
3.926801631178803e-002	6.058800e+000
3.934801631178803e-002	5.991761e+000
3.942801631178802e-002	6.413160e+000
3.950801631178802e-002	7.350430e+000
3.958801631178802e-002	8.806205e+000
3.966801631178801e-002	1.075391e+001
3.974801631178801e-002	1.312783e+001
3.982801631178801e-002	1.578434e+001
3.989328563962521e-002	1.795997e+001
3.991864579355281e-002	1.863491e+001
3.993801500960242e-002	1.896525e+001
3.994433860518634e-002	1.903800e+001
3.995459352098005e-002	1.913205e+001
3.996478503043127e-002	1.921095e+001
3.997970624940478e-002	1.930599e+001
3.999419230085460e-002	1.938040e+001
4.001657164398265e-002	1.947077e+001
4.004015169109518e-002	1.954430e+001
4.007691304873609e-002	1.962857e+001
4.011405530984241e-002	1.967665e+001
4.016335412784447e-002	1.966548e+001
4.021278232940642e-002	1.954541e+001
4.027650820289958e-002	1.921669e+001
4.034522077266878e-002	1.865332e+001
4.042522077266877e-002	1.774474e+001
4.050522077266877e-002	1.660251e+001
4.058522077266877e-002	1.526317e+001
4.066522077266876e-002	1.378426e+001
4.074522077266876e-002	1.223357e+001
4.082522077266876e-002	1.068765e+001
4.090522077266875e-002	9.229546e+000
4.098522077266875e-002	7.945751e+000
4.106522077266875e-002	6.922333e+000
4.114522077266875e-002	6.240363e+000
4.122522077266874e-002	5.970980e+000
4.130522077266874e-002	6.170560e+000
4.138522077266874e-002	6.876312e+000
4.146522077266873e-002	8.102345e+000
4.154522077266873e-002	9.835724e+000
4.162522077266873e-002	1.202997e+001
4.170522077266872e-002	1.458408e+001
4.178522077266872e-002	1.730978e+001
4.181760743107238e-002	1.833013e+001
4.183571532391889e-002	1.875915e+001
4.184375372969923e-002	1.888620e+001
4.185296275824035e-002	1.899544e+001
4.186271211154888e-002	1.909321e+001
4.187264338218941e-002	1.917680e+001
4.188431952687124e-002	1.925893e+001
4.189712715366628e-002	1.933337e+001
4.191394760142705e-002	1.941293e+001
4.193288858438729e-002	1.948441e+001
4.195997358252121e-002	1.956431e+001
4.198959060677510e-002	1.962987e+001
4.202802695889304e-002	1.967975e+001
4.207094191944188e-002	1.967056e+001
4.212798643963267e-002	1.953111e+001
4.219170857527363e-002	1.919996e+001
4.226060705371823e-002	1.862651e+001
4.234060705371823e-002	1.770887e+001
4.242060705371822e-002	1.655884e+001
4.250060705371822e-002	1.521352e+001
4.258060705371822e-002	1.373084e+001
4.266060705371821e-002	1.217891e+001
4.274060705371821e-002	1.063455e+001
4.282060705371821e-002	9.180984e+000
4.290060705371820e-002	7.904758e+000
4.298060705371820e-002	6.891849e+000
4.306060705371820e-002	6.223069e+000
4.314060705371819e-002	5.969123e+000
4.322060705371819e-002	6.185794e+000
4.330060705371819e-002	6.909552e+000
4.338060705371818e-002	8.153633e+000
4.346060705371818e-002	9.904081e+000
4.354060705371818e-002	1.211306e+001
4.362060705371817e-002	1.467600e+001
4.370060705371817e-002	1.737344e+001
4.373830603946782e-002	1.848520e+001
4.375993924043553e-002	1.891932e+001
4.376669346026446e-002	1.900451e+001
4.377695029585696e-002	1.910352e+001
4.378924546768692e-002	1.920346e+001
4.380072821107622e-002	1.927979e+001
4.381791631562487e-002	1.937229e+001
4.383429412150533e-002	1.944269e+001
4.385970673064360e-002	1.952786e+001
4.388682321784945e-002	1.959737e+001
4.392593834975128e-002	1.966465e+001
4.396729467822144e-002	1.968382e+001
4.401787882512157e-002	1.961005e+001
4.407399256257924e-002	1.938982e+001
4.413742236236218e-002	1.895387e+001
4.421742236236217e-002	1.815324e+001
4.429742236236217e-002	1.710763e+001
4.437742236236217e-002	1.584378e+001
4.445742236236216e-002	1.441503e+001
4.453742236236216e-002	1.288503e+001
4.461742236236216e-002	1.132686e+001
4.469742236236216e-002	9.821176e+000
4.477742236236215e-002	8.453474e+000
4.485742236236215e-002	7.310545e+000
4.493742236236215e-002	6.476153e+000
4.501742236236214e-002	6.026208e+000
4.509742236236214e-002	6.023847e+000
4.517742236236214e-002	6.514814e+000
4.525742236236213e-002	7.523344e+000
4.533742236236213e-002	9.048345e+000
4.541742236236213e-002	1.105875e+001
4.549742236236212e-002	1.348184e+001
4.557742236236212e-002	1.616993e+001
4.562696709034994e-002	1.783350e+001
4.565422251887036e-002	1.855980e+001
4.568236633667094e-002	1.903163e+001
4.569054213903259e-002	1.911881e+001
4.570047810941808e-002	1.919777e+001
4.571179269441950e-002	1.927371e+001
4.572531773358962e-002	1.934875e+001
4.574298212163541e-002	1.942843e+001
4.576292359227757e-002	1.949989e+001
4.579135332234902e-002	1.957916e+001
4.582241458512079e-002	1.964285e+001
4.586157620613926e-002	1.968458e+001
4.590525285323502e-002	1.965681e+001
4.596948234186282e-002	1.945695e+001
4.604081453690592e-002	1.902115e+001
4.611503794659061e-002	1.832281e+001
4.619503794659061e-002	1.731681e+001
4.627503794659060e-002	1.608900e+001
4.635503794659060e-002	1.468559e+001
4.643503794659060e-002	1.316839e+001
4.651503794659059e-002	1.160889e+001
4.659503794659059e-002	1.008660e+001
4.667503794659059e-002	8.686411e+000
4.675503794659058e-002	7.495227e+000
4.683503794659058e-002	6.597768e+000
4.691503794659058e-002	6.071804e+000
4.699503794659057e-002	5.983217e+000
4.707503794659057e-002	6.381297e+000
4.715503794659057e-002	7.294535e+000
4.723503794659056e-002	8.726795e+000
