Frecuencia	Ganancia	Fase
5.41169526546464e+005	1.27552409249684e+001	1.73430490015765e+002
5.84341413373517e+005	1.27487604606976e+001	1.72909229980318e+002
6.30957344480193e+005	1.27412177474485e+001	1.72347195827027e+002
6.81292069057961e+005	1.27324411342322e+001	1.71741334467841e+002
7.35642254459641e+005	1.27222321040930e+001	1.71088399788304e+002
7.94328234724281e+005	1.27103613755218e+001	1.70384949554118e+002
8.57695898590894e+005	1.26965645461228e+001	1.69627344927197e+002
9.26118728128793e+005	1.26805372638422e+001	1.68811753391603e+002
1.00000000000000e+006	1.26619299272407e+001	1.67934156045999e+002
1.07977516232771e+006	1.26403419397354e+001	1.66990360391064e+002
1.16591440117983e+006	1.26153155755791e+001	1.65976019906826e+002
1.25892541179417e+006	1.25863295599126e+001	1.64886661883017e+002
1.35935639087853e+006	1.25527925235675e+001	1.63717725099070e+002
1.46779926762207e+006	1.25140365673839e+001	1.62464609029574e+002
1.58489319246111e+006	1.24693112616538e+001	1.61122736230879e+002
1.71132830416178e+006	1.24177785136513e+001	1.59687629403513e+002
1.84784979742229e+006	1.23585088564999e+001	1.58155004247764e+002
1.99526231496888e+006	1.22904798398056e+001	1.56520878587973e+002
2.15443469003188e+006	1.22125773233564e+001	1.54781697242353e+002
2.32630506715363e+006	1.21236005727605e+001	1.52934470734399e+002
2.51188643150958e+006	1.20222721035867e+001	1.50976924135761e+002
2.71227257933203e+006	1.19072531886955e+001	1.48907650168764e+002
2.92864456462524e+006	1.17771657965688e+001	1.46726258289586e+002
3.16227766016838e+006	1.16306214375540e+001	1.44433509105905e+002
3.41454887383360e+006	1.14662569399329e+001	1.42031421507554e+002
3.68694506451957e+006	1.12827765641559e+001	1.39523338803446e+002
3.98107170553497e+006	1.10789991312066e+001	1.36913940491206e+002
4.29866234708228e+006	1.08539080676879e+001	1.34209188461705e+002
4.64158883361278e+006	1.06067015742380e+001	1.31416200701336e+002
5.01187233627272e+006	1.03368396443484e+001	1.28543051761298e+002
5.41169526546464e+006	1.00440845235514e+001	1.25598506779598e+002
5.84341413373517e+006	9.72853149905656e+000	1.22591703731747e+002
6.30957344480193e+006	9.39062764236837e+000	1.19531805456121e+002
6.81292069057961e+006	9.03117722419512e+000	1.16427647744191e+002
7.35642254459641e+006	8.65133379449759e+000	1.13287411350706e+002
7.94328234724281e+006	8.25258016989355e+000	1.10118343975641e+002
8.57695898590894e+006	7.83669857220565e+000	1.06926553375720e+002
9.26118728128793e+006	7.40573376581333e+000	1.03716885746732e+002
1.00000000000000e+007	6.96195217591483e+000	1.00492895571009e+002
1.07977516232771e+007	6.50779966568238e+000	9.72569054428596e+001
1.16591440117983e+007	6.04586000495278e+000	9.40101478353627e+001
1.25892541179417e+007	5.57881523857679e+000	9.07529758641722e+001
1.35935639087853e+007	5.10940829927764e+000	8.74851268023369e+001
1.46779926762207e+007	4.64040745991561e+000	8.42060201852135e+001
1.58489319246111e+007	4.17457168597535e+000	8.09150714049708e+001
1.71132830416178e+007	3.71461569242160e+000	7.76120013384751e+001
1.84784979742229e+007	3.26317357148477e+000	7.42971226472198e+001
1.99526231496888e+007	2.82276021701927e+000	7.09715839204733e+001
2.15443469003188e+007	2.39573039734230e+000	6.76375541111844e+001
2.32630506715363e+007	1.98423613286674e+000	6.42983321234665e+001
2.51188643150958e+007	1.59018389624708e+000	6.09583702965031e+001
2.71227257933203e+007	1.21519392753786e+000	5.76232061207910e+001
